geoid_tract_20,census_tract_name,depressed_perc,black_non_hisp_perc,white_non_hisp_perc,hispanic_latino_perc,3_plus_cre_risk_factors_perc,below_poverty_level_perc,no_health_insurance_perc,male_perc,female_perc,income_inequality_gini_index,hs_grad_perc,households_no_vehicle_perc,households_w_internet_perc,walkability_score,GEOID,neighborhood_name
11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",21.1,97.5,0.4,2.0,28.85,19.9,7.6,40.0,60.0,0.428,88.6,54.3,64.4,12.25,11001009907,MARSHALL HEIGHTS
11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",18.3,68.7,25.6,2.7,35.38,19.7,4.3,51.1,48.9,0.4983,86.0,34.2,72.8,13.5,11001008802,TRINIDAD
11001005900,"Census Tract 59, District of Columbia, District of Columbia",22.1,22.4,50.8,8.6,17.12,27.7,4.6,52.6,47.4,0.5047,90.7,61.1,82.6,16.5,11001005900,CHINATOWN
11001002900,"Census Tract 29, District of Columbia, District of Columbia",19.3,19.6,47.1,25.0,13.98,8.2,7.8,50.1,49.9,0.4526,85.6,38.2,88.4,16.16666667,11001002900,COLUMBIA HEIGHTS
11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",18.5,37.6,48.7,5.2,9.09,9.3,1.4,46.3,53.7,0.3496,97.3,12.4,89.9,15.75,11001003302,BLOOMINGDALE
11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",20.5,27.3,45.2,16.5,35.81,15.0,1.8,53.3,46.7,0.4942,91.3,61.1,80.0,15.666666665000001,11001005002,LOGAN CIRCLE/SHAW
11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",22.1,98.7,0.8,0.0,39.28,37.5,4.2,45.1,54.9,0.5259,84.4,49.3,60.2,11.666666665000001,11001007502,NAYLOR/HILLCREST
11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",18.5,44.4,40.8,5.1,20.98,10.9,1.7,46.9,53.1,0.4276,94.2,11.5,90.2,15.583333329999999,11001009301,BRENTWOOD
11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",22.8,7.1,71.8,11.3,20.22,2.7,0.9,44.5,55.5,0.4873,98.0,12.1,92.8,13.0,11001000901,KENT/PALISADES
11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",16.8,58.1,19.2,17.6,16.59,11.6,3.7,47.8,52.2,0.4888,94.9,17.7,88.4,15.083333334999999,11001001901,BRIGHTWOOD
11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",23.3,96.6,0.9,0.3,35.22,38.6,6.6,42.7,57.3,0.62,86.1,50.9,55.0,13.5,11001009811,BELLEVUE
11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",21.5,83.4,1.8,9.4,22.65,30.2,1.6,45.2,54.8,0.4673,86.7,42.6,74.0,12.75,11001009804,CONGRESS HEIGHTS/SHIPLEY
11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",20.7,2.4,75.8,9.5,9.62,9.8,2.2,48.9,51.1,0.4428,99.6,59.2,94.7,14.91666667,11001005301,LOGAN CIRCLE/SHAW
11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",19.4,40.1,20.8,35.3,19.01,11.7,13.6,55.8,44.2,0.5074,76.9,36.5,70.1,13.916666665000001,11001002501,16th ST HEIGHTS
11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",20.3,4.5,80.6,5.4,11.93,4.8,3.0,48.3,51.7,0.4018,100.0,42.5,97.0,15.16666667,11001004002,ADAMS MORGAN
11001007000,"Census Tract 70, District of Columbia, District of Columbia",19.9,3.2,82.6,9.9,8.0,2.0,1.0,53.5,46.5,0.3869,96.7,15.7,91.3,16.333333335,11001007000,CAPITOL HILL
11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",19.7,31.5,25.7,34.5,18.58,12.7,4.6,51.9,48.1,0.4573,74.5,37.5,74.9,14.583333334999999,11001002502,16th ST HEIGHTS
11001002400,"Census Tract 24, District of Columbia, District of Columbia",17.9,40.8,34.2,18.9,16.63,8.5,2.8,42.3,57.7,0.3637,88.5,28.1,90.5,15.583333334999999,11001002400,PETWORTH
11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",18.6,62.9,11.9,20.9,27.5,7.2,9.6,50.2,49.8,0.4182,82.1,29.4,76.5,14.83333333,11001002101,BRIGHTWOOD PARK
11001009000,"Census Tract 90, District of Columbia, District of Columbia",17.1,79.3,8.4,8.2,32.75,12.0,2.8,39.4,60.6,0.506,87.0,32.8,68.7,13.916666665000001,11001009000,FORT LINCOLN/GATEWAY
11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",20.9,95.0,1.1,0.0,26.0,31.9,3.7,49.6,50.4,0.6287,87.0,45.9,55.0,13.83333333,11001009905,MARSHALL HEIGHTS
11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",25.8,89.9,3.4,2.5,41.65,68.6,5.0,43.6,56.4,0.6461,70.8,66.3,51.0,12.41666667,11001007401,SAINT ELIZABETHS
11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",17.8,32.4,54.7,4.4,15.82,6.4,2.6,57.4,42.6,0.3995,95.6,17.6,91.5,16.5,11001008410,UNION STATION
11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",20.2,13.6,67.9,9.4,11.2,1.8,0.1,54.2,45.8,0.3957,94.7,20.4,95.1,15.16666667,11001008302,UNION STATION
11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",28.6,6.1,56.7,11.2,38.71,18.1,1.0,44.2,55.8,-666666666.0,100.0,-666666666.0,-666666666.0,13.16666667,11001000201,GEORGETOWN
11001010600,"Census Tract 106, District of Columbia, District of Columbia",19.6,30.4,55.9,4.8,14.82,11.4,3.8,51.2,48.8,0.4276,96.7,36.8,92.7,14.83333333,11001010600,UNION STATION
11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",20.3,73.1,11.8,9.3,43.0,18.8,10.5,44.0,56.0,0.5059,84.1,44.7,74.9,14.75,11001008804,TRINIDAD
11001010800,"Census Tract 108, District of Columbia, District of Columbia",30.0,9.6,63.6,10.7,25.31,47.8,1.4,43.6,56.4,0.6052,91.2,83.0,85.5,16.83333333,11001010800,GWU
11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",18.9,53.3,29.0,16.2,20.01,17.2,6.0,47.7,52.3,0.502,88.2,28.7,84.7,15.0,11001009302,BRENTWOOD
11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",20.7,85.3,4.8,7.7,37.22,25.2,2.4,44.5,55.5,0.5238,90.3,42.3,75.7,13.33333333,11001007605,TWINING
11001004600,"Census Tract 46, District of Columbia, District of Columbia",18.4,39.8,41.6,8.9,15.87,10.1,1.6,52.3,47.7,0.4267,94.0,30.1,82.5,15.25,11001004600,BLOOMINGDALE
11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",19.8,3.7,78.6,6.2,14.86,2.9,2.2,49.1,50.9,0.45,99.1,12.8,92.3,15.416666665,11001001001,TENLEYTOWN
11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",18.7,66.6,17.6,9.6,12.71,14.8,3.9,40.2,59.8,0.4531,91.4,22.9,90.3,13.333333334999999,11001009203,BLOOMINGDALE
11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",24.7,89.2,0.1,7.8,20.64,54.8,0.6,33.1,66.9,0.5686,90.4,33.8,58.7,10.91666667,11001007406,HISTORIC ANACOSTIA
11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",17.4,52.1,25.5,15.9,15.9,5.0,2.7,46.1,53.9,0.3942,94.5,15.7,84.4,15.5,11001002301,PETWORTH
11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",20.0,31.9,45.7,17.3,26.63,13.1,2.9,58.2,41.8,0.4662,93.1,43.6,85.2,15.833333335,11001004901,LOGAN CIRCLE/SHAW
11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",24.5,43.5,24.8,27.0,42.97,14.9,9.1,51.3,48.7,0.47,80.2,33.7,63.3,12.66666667,11001009501,MICHIGAN PARK
11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",19.2,42.7,40.5,8.0,13.67,16.9,2.5,51.7,48.3,0.4152,89.8,43.8,86.0,14.416666665000001,11001004802,CHINATOWN
11001006700,"Census Tract 67, District of Columbia, District of Columbia",20.3,10.8,76.2,6.1,6.26,2.8,0.7,48.6,51.4,0.3989,98.0,22.3,92.9,15.16666667,11001006700,CAPITOL HILL
11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",19.7,89.0,6.9,2.9,37.97,19.1,3.4,44.6,55.4,0.5233,87.0,38.2,67.5,14.16666667,11001007601,TWINING
11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",20.6,1.6,76.0,11.9,16.91,6.2,4.4,47.5,52.5,0.4889,100.0,53.1,91.3,17.5,11001004202,ADAMS MORGAN
11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",20.9,85.0,2.1,9.7,22.84,14.0,8.2,49.2,50.8,0.4726,88.4,39.6,62.6,13.16666667,11001007404,DOUGLASS
11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",21.0,30.4,49.7,11.2,28.73,23.7,6.5,42.8,57.2,0.4998,94.6,30.7,90.3,17.5,11001009201,EDGEWOOD
11001011100,"Census Tract 111, District of Columbia, District of Columbia",17.3,71.1,10.6,11.9,29.21,12.6,2.0,48.9,51.1,0.4795,84.9,18.5,84.5,15.0,11001011100,FORT LINCOLN/GATEWAY
11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",19.8,92.6,4.1,2.0,22.54,30.4,0.5,41.7,58.3,0.4447,83.3,23.5,80.5,13.25,11001007603,NAYLOR/HILLCREST
11001006600,"Census Tract 66, District of Columbia, District of Columbia",21.1,1.4,83.7,3.2,12.53,3.8,0.4,51.0,49.0,0.4047,100.0,22.0,100.0,18.0,11001006600,CAPITOL HILL
11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",20.5,33.9,29.6,29.6,23.5,22.7,8.0,46.5,53.5,0.4832,85.9,60.4,81.1,15.083333334999999,11001002801,COLUMBIA HEIGHTS
11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",22.2,20.0,50.5,20.7,4.42,5.1,0.0,52.4,47.6,0.3519,100.0,5.1,95.7,6.666666667,11001007301,NAVAL STATION & AIR FORCE
11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",20.2,95.5,0.0,2.2,24.22,30.1,3.0,45.9,54.1,0.4407,85.5,35.7,71.2,12.416666665000001,11001007809,LINCOLN HEIGHTS
11001008200,"Census Tract 82, District of Columbia, District of Columbia",21.9,7.8,77.0,9.5,10.92,4.6,0.8,45.4,54.6,0.4288,99.9,25.8,96.4,14.833333334999999,11001008200,CAPITOL HILL
11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",20.1,58.8,4.3,35.3,28.31,23.6,9.2,52.2,47.8,0.4261,74.3,34.0,66.0,11.0,11001001803,BRIGHTWOOD
11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",18.0,9.7,63.0,17.8,29.25,6.4,1.5,46.4,53.6,0.4897,96.2,32.3,74.2,14.0,11001001402,CHEVY CHASE
11001003800,"Census Tract 38, District of Columbia, District of Columbia",19.6,20.3,50.8,16.4,9.54,8.9,4.3,53.4,46.6,0.463,95.4,45.6,95.9,16.5,11001003800,ADAMS MORGAN
11001003500,"Census Tract 35, District of Columbia, District of Columbia",21.0,60.4,24.8,8.5,20.79,18.1,4.1,44.7,55.3,0.5002,88.2,41.7,79.1,16.0,11001003500,U ST/PLEASANT
11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",21.9,7.5,69.9,13.6,16.32,4.4,2.9,50.4,49.6,0.4886,98.6,36.9,98.5,16.33333333,11001000501,WOODLEY PARK
11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",18.8,94.8,3.0,0.0,29.65,15.3,6.3,43.7,56.3,0.4406,89.5,29.9,64.3,14.25,11001007806,LINCOLN HEIGHTS
11001010900,"Census Tract 109, District of Columbia, District of Columbia",22.2,94.6,1.2,1.7,49.67,33.4,3.7,48.3,51.7,0.4761,83.7,50.8,68.3,11.0000000015,11001010900,BELLEVUE
11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",17.8,96.4,1.9,1.3,22.41,13.9,3.7,49.9,50.1,0.4532,88.0,25.5,75.9,12.666666665000001,11001009902,TWINING
11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",20.2,69.0,20.8,5.7,40.93,28.1,3.0,45.5,54.5,0.4875,89.7,32.9,78.1,13.416666665000001,11001007901,KINGMAN PARK
11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",20.6,9.2,69.5,11.4,13.86,12.9,1.6,40.9,59.1,0.521,99.5,6.9,96.9,13.666666665000001,11001000801,KENT/PALISADES
11001005600,"Census Tract 56, District of Columbia, District of Columbia",22.6,4.9,63.4,13.8,36.85,27.3,2.2,50.6,49.4,0.5699,99.0,60.6,91.4,15.916666670000001,11001005600,GWU
11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",23.1,98.4,0.4,0.5,39.69,54.4,2.7,47.2,52.8,0.673,79.3,56.1,66.8,11.5,11001007504,HISTORIC ANACOSTIA
11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",22.4,89.5,2.0,5.9,41.05,37.0,2.8,33.5,66.5,0.5595,92.5,60.8,53.7,14.5,11001009602,EASTLAND GARDENS
11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",16.9,77.2,9.6,8.4,26.74,3.4,2.4,47.4,52.6,0.362,88.0,21.1,74.8,12.33333333,11001009509,MICHIGAN PARK
11001001200,"Census Tract 12, District of Columbia, District of Columbia",20.2,7.3,69.0,10.7,21.53,4.9,0.9,48.6,51.4,0.4377,98.3,21.6,93.7,15.166666670000001,11001001200,TENLEYTOWN
11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",19.8,10.1,68.1,6.3,20.19,11.5,2.2,47.7,52.3,0.5018,99.1,22.7,95.8,13.166666665000001,11001000701,CATHEDRAL HEIGHTS
11001007100,"Census Tract 71, District of Columbia, District of Columbia",22.7,51.9,33.3,7.2,36.84,32.8,2.5,49.1,50.9,0.5118,89.9,41.5,87.6,14.75,11001007100,HILL EAST
11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",17.9,73.6,4.0,20.6,27.91,12.4,10.5,49.1,50.9,0.4443,84.1,18.9,70.8,13.0,11001009507,LAMOND RIGGS
11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",21.5,86.2,0.1,3.7,33.46,29.5,5.2,46.6,53.4,0.4286,91.2,48.0,69.4,12.416666665000001,11001009810,BELLEVUE
11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",23.1,5.9,65.5,13.8,7.82,15.9,1.1,40.8,59.2,0.5101,95.0,17.5,94.5,13.66666667,11001001002,CATHEDRAL HEIGHTS
11001010700,"Census Tract 107, District of Columbia, District of Columbia",22.7,5.6,64.5,14.3,27.49,15.8,8.6,54.8,45.2,0.4876,95.3,62.4,87.3,15.416666670000001,11001010700,GWU
11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",20.5,22.4,42.5,31.3,19.82,14.7,6.9,51.7,48.3,0.4629,83.0,52.4,84.5,14.166666665000001,11001002701,MOUNT PLEASANT
11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",23.6,91.6,2.9,0.3,41.45,59.5,5.2,52.7,47.3,0.5749,79.9,52.9,55.3,12.5,11001007408,NAYLOR/HILLCREST
11001010100,"Census Tract 101, District of Columbia, District of Columbia",18.9,13.0,52.9,12.7,12.59,14.1,6.3,48.5,51.5,0.518,98.8,58.0,91.3,16.58333333,11001010100,CHINATOWN
11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",23.9,95.8,0.6,3.0,44.08,60.6,4.8,47.2,52.8,0.5734,81.5,59.1,63.8,12.416666665000001,11001009802,BELLEVUE
11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",19.9,96.0,1.1,1.6,39.76,29.7,2.4,48.8,51.2,0.5168,85.9,36.1,65.0,12.333333334999999,11001007707,MARSHALL HEIGHTS
11001006400,"Census Tract 64, District of Columbia, District of Columbia",21.6,76.2,19.4,1.9,45.43,35.5,4.2,48.0,52.0,0.609,76.5,63.7,56.5,15.666666665000001,11001006400,SW/WATERFRONT
11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",18.6,49.2,18.9,26.4,12.25,6.1,2.9,52.4,47.6,0.4799,82.1,12.1,83.6,14.83333333,11001002002,16th ST HEIGHTS
11001000300,"Census Tract 3, District of Columbia, District of Columbia",23.0,8.5,73.2,7.9,9.9,18.5,1.0,45.9,54.1,0.4429,99.3,17.4,98.3,14.166666665000001,11001000300,CATHEDRAL HEIGHTS
11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",19.5,20.4,68.7,7.9,7.68,4.1,0.3,46.8,53.2,0.4067,95.9,18.7,85.2,15.58333333,11001008002,KINGMAN PARK
11001003200,"Census Tract 32, District of Columbia, District of Columbia",19.6,42.6,25.9,27.0,14.92,17.3,7.4,48.0,52.0,0.4365,81.7,23.9,81.2,12.75,11001003200,COLUMBIA HEIGHTS
11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",18.3,25.6,52.3,9.8,14.89,10.3,6.0,48.3,51.7,0.446,90.5,50.4,93.4,16.5,11001004702,CHINATOWN
11001006900,"Census Tract 69, District of Columbia, District of Columbia",19.6,15.7,73.3,4.4,10.44,3.5,3.5,46.8,53.2,0.3893,98.9,22.2,87.9,15.916666670000001,11001006900,HILL EAST
11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",21.2,8.1,70.7,13.2,14.43,12.0,1.4,41.1,58.9,0.4951,97.9,27.2,91.9,13.16666667,11001001302,FOREST HILLS
11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",21.1,6.4,74.7,13.1,11.68,3.1,1.4,55.2,44.8,0.4355,96.6,35.2,90.7,14.83333333,11001004001,ADAMS MORGAN
11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",19.5,91.7,0.6,2.8,42.73,22.6,5.5,47.9,52.1,0.4964,89.7,40.9,66.4,15.25,11001007709,TWINING
11001009400,"Census Tract 94, District of Columbia, District of Columbia",16.7,75.3,16.2,2.9,23.26,8.7,4.8,45.6,54.4,0.4141,90.6,12.4,87.0,14.833333334999999,11001009400,WOODRIDGE
11001009700,"Census Tract 97, District of Columbia, District of Columbia",21.9,95.0,1.7,3.0,35.89,30.1,4.1,48.7,51.3,0.5496,88.4,39.7,68.2,13.833333334999999,11001009700,WASHINGTON HIGHLANDS
11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",16.4,79.0,7.7,3.0,33.47,12.0,3.1,51.0,49.0,0.4607,93.5,10.1,77.4,13.333333334999999,11001009901,TWINING
11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",20.3,78.0,10.1,9.8,48.85,21.0,19.2,44.8,55.2,0.5547,80.2,53.3,56.7,13.083333334999999,11001009204,EDGEWOOD
11001002600,"Census Tract 26, District of Columbia, District of Columbia",16.6,29.8,42.4,17.6,44.82,6.5,3.7,48.3,51.7,0.456,98.3,16.9,89.5,12.16666667,11001002600,16th ST HEIGHTS
11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",17.1,54.1,16.8,25.1,14.16,5.1,3.6,47.1,52.9,0.4128,90.6,9.9,85.9,13.75,11001001902,LAMOND RIGGS
11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",19.3,77.7,14.5,4.8,35.19,27.1,6.9,47.7,52.3,0.4254,93.4,35.0,79.7,14.583333334999999,11001008903,TRINIDAD
11001005800,"Census Tract 58, District of Columbia, District of Columbia",19.5,10.5,59.2,11.3,30.12,16.2,0.9,48.5,51.5,0.4614,92.9,50.7,91.0,18.25,11001005800,CHINATOWN
11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",19.2,94.3,3.3,0.1,32.2,26.0,2.4,45.1,54.9,0.5191,92.5,38.2,69.8,11.75,11001009807,BELLEVUE
11001000600,"Census Tract 6, District of Columbia, District of Columbia",20.1,6.6,70.6,13.6,18.0,5.9,1.0,44.2,55.8,0.5108,94.5,25.5,89.8,16.33333333,11001000600,WOODLEY PARK
11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",22.2,86.3,9.2,4.1,36.35,41.3,3.4,45.7,54.3,0.5409,84.5,46.4,72.6,14.666666665,11001007503,HISTORIC ANACOSTIA
11001000100,"Census Tract 1, District of Columbia, District of Columbia",20.2,0.7,76.5,14.0,18.78,6.4,2.3,47.9,52.1,0.516,97.0,22.5,97.3,18.0,11001000100,GEORGETOWN EAST
11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",22.4,92.2,0.0,6.6,44.82,31.5,2.0,50.2,49.8,0.5206,83.8,51.1,52.0,11.583333334999999,11001007703,FORT DUPONT
11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",18.7,38.1,47.9,10.9,20.86,4.5,3.8,47.4,52.6,0.4267,95.3,18.2,89.0,17.5,11001001702,BRIGHTWOOD
11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",19.9,12.7,64.6,13.5,12.46,5.0,0.8,47.8,52.2,0.416,96.6,57.9,92.2,14.66666667,11001005201,LOGAN CIRCLE/SHAW
11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",21.4,94.2,2.2,2.2,32.68,19.9,3.1,37.1,62.9,0.645,83.4,30.0,71.2,12.166666665000001,11001007407,HISTORIC ANACOSTIA
11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",19.3,54.4,25.7,4.3,24.54,28.1,0.8,46.4,53.6,0.5327,87.7,49.3,77.1,16.083333335,11001004701,CHINATOWN
11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",21.4,85.6,2.7,10.1,38.24,28.9,4.6,45.4,54.6,0.5059,86.2,34.6,61.5,11.7499999985,11001009904,MARSHALL HEIGHTS
11001004100,"Census Tract 41, District of Columbia, District of Columbia",19.0,5.5,71.8,9.0,15.86,4.8,1.0,46.5,53.5,0.5054,99.2,34.0,94.9,16.0,11001004100,GEORGETOWN EAST
11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",20.3,15.0,65.6,8.0,20.7,7.6,4.9,45.4,54.6,0.5037,99.0,25.9,87.2,11.16666667,11001001301,FOREST HILLS
11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",19.6,79.7,8.7,7.2,22.74,29.3,5.2,45.1,54.9,0.511,88.3,39.9,80.8,15.0,11001009102,BRENTWOOD
11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",18.0,49.5,33.9,9.7,20.35,15.5,3.0,39.3,60.7,0.4227,91.5,49.0,86.9,14.75,11001008702,EDGEWOOD
11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",17.4,51.2,39.2,5.5,16.36,6.3,5.6,52.7,47.3,0.4339,91.3,27.4,87.8,16.25,11001008701,BLOOMINGDALE
11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",20.6,96.1,0.3,2.0,32.7,26.6,3.2,39.0,61.0,0.463,86.3,49.0,53.2,14.0,11001009906,MARSHALL HEIGHTS
11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",18.6,29.4,54.9,9.7,10.72,8.1,0.7,49.2,50.8,0.4479,93.5,40.5,87.9,18.0,11001004801,LOGAN CIRCLE/SHAW
11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",19.3,3.9,75.7,12.5,11.5,2.4,0.1,48.0,52.0,0.5285,97.6,5.1,96.6,15.5,11001000902,KENT/PALISADES
11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",19.5,87.6,2.8,6.8,27.87,26.2,8.0,48.8,51.2,0.5463,84.0,33.0,76.2,14.25,11001007803,EASTLAND GARDENS
11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",20.0,82.0,6.6,9.8,28.24,25.2,8.0,48.1,51.9,0.5091,82.1,54.5,58.3,13.416666665000001,11001008904,TRINIDAD
11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",14.5,45.7,41.1,4.0,50.91,19.4,3.1,58.1,41.9,0.5009,91.6,46.7,55.2,10.66666667,11001002302,DC MEDICAL CENTER
11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",20.4,24.9,44.1,16.4,22.65,14.0,3.4,45.2,54.8,0.4665,94.0,42.6,89.1,17.83333333,11001004902,LOGAN CIRCLE/SHAW
11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",19.5,15.1,63.7,12.4,13.7,9.1,2.4,55.9,44.1,0.4475,91.5,40.4,90.4,16.583333335,11001005001,LOGAN CIRCLE/SHAW
